claim_no,accident_year,occurrence_period,claim_size,notidel,setldel,report_dy,cum_paid_observed,cum_paid_full,reserve_true,ibnr_flag,claim_type
1,2,2,206806.81,0.2422762765229295,16.777354277891856,1,186583.14,206806.81,20223.669999999984,0,Annuity
2,8,8,253968.04,0.4428337303216975,10.567467816563996,1,151311.93000000002,253968.04,102656.10999999999,0,Annuity
3,5,5,137557.622,0.3123509103353867,12.05915383983573,1,120715.862,137557.622,16841.76000000001,0,Annuity
4,4,4,243258.229,0.0640512525667351,15.312028692676249,1,173266.829,243258.229,69991.4,0,Annuity
5,10,10,173038.7,0.22632741957563313,7.054031403148528,1,0.0,173038.7,173038.7,0,Annuity
6,6,6,199108.14,0.012182669404517454,9.631833100616015,1,159305.47,199108.14,39802.67000000001,0,Annuity
7,4,4,258569.448,0.002119425051334702,4.756484873374401,1,258569.448,258569.448,0.0,0,Annuity
8,3,3,193189.46000000002,0.15434874743326488,10.014625407255304,1,152471.96,193189.46000000002,40717.50000000003,0,Annuity
9,8,8,254196.77099999998,0.23873174537987682,8.387852731006161,1,88921.8,254196.77099999998,165274.97099999996,0,Annuity
10,8,8,83041.62000000001,0.025588227241615333,7.013689117043121,1,16608.92,83041.62000000001,66432.70000000001,0,Annuity
11,6,6,188494.24,0.04751184120465434,14.784977002053388,1,137018.05,188494.24,51476.19,0,Annuity
12,10,10,137988.5,0.030475373032169746,10.673715400410678,1,0.0,137988.5,137988.5,0,Annuity
13,6,6,211536.02,0.14109445585215608,6.957788473648186,1,87826.09,211536.02,123709.93,0,Annuity
14,8,8,241525.809,0.2819482819986311,8.4014612183436,1,139903.41,241525.809,101622.399,0,Annuity
15,4,4,260808.26,0.09771496235455168,9.146037508555782,1,241557.53,260808.26,19250.73000000001,0,Annuity
16,7,7,91810.73,0.01045574264202601,13.532312717316907,1,63465.549999999996,91810.73,28345.18,0,Annuity
17,10,10,113600.37,0.10161347022587269,9.476112744695413,1,0.0,113600.37,113600.37,0,Annuity
18,1,1,194280.25,0.08295939767282683,10.43280692676249,1,182162.95,194280.25,12117.299999999988,0,Annuity
19,2,2,314061.01,0.26199006160164273,18.638380260095825,1,227064.39,314061.01,86996.62,0,Annuity
20,3,3,274790.26900000003,0.46607129363449695,13.598645557837097,1,268242.85,274790.26900000003,6547.419000000053,0,Annuity
21,1,1,58390.950000000004,0.3228421629021218,6.200195290896646,1,58390.950000000004,58390.950000000004,0.0,0,Annuity
22,7,7,79712.24,0.06333993155373031,3.624134893908282,2,68944.55,79712.24,10767.690000000002,0,Annuity
23,4,4,151942.129,0.03152602327173169,6.956681943874059,1,125789.829,151942.129,26152.29999999999,0,Annuity
24,6,6,298188.7,0.21839099247091032,14.459945160848733,1,113215.69,298188.7,184973.01,0,Annuity
25,3,3,317903.65,1.5270003832991101,9.272046899383984,3,162433.26,317903.65,155470.39,0,Annuity
26,10,10,291895.225,0.2597193155373032,10.096236851471595,1,0.0,291895.225,291895.225,0,Annuity
27,8,8,314436.69,0.09076544832306639,11.304394743326489,1,185225.75,314436.69,129210.94,0,Annuity
28,1,1,150151.86,0.009566406570841889,19.21784531143053,1,126074.45999999999,150151.86,24077.399999999994,0,Annuity
29,1,1,133612.18,0.05535474332648871,3.8669984941820674,1,133612.18,133612.18,0.0,0,Annuity
30,10,10,199525.51,0.09375498973305955,6.978362984257358,1,0.0,199525.51,199525.51,0,Annuity
31,6,6,114430.588,0.05934488706365503,7.614154551676934,1,85804.77799999999,114430.588,28625.810000000012,0,Annuity
32,5,5,207294.65,0.018634907597535933,11.968974483230664,1,191248.78,207294.65,16045.869999999995,0,Annuity
33,4,4,213962.8,0.49842365503080077,7.394965941136207,2,209565.94,213962.8,4396.859999999986,0,Annuity
34,8,8,186996.11,0.0996645311430527,12.017568514715949,2,41421.2,186996.11,145574.90999999997,0,Annuity
35,10,10,128644.029,1.7920478028747435,10.053421437371663,3,0.0,128644.029,128644.029,1,Annuity
36,2,2,182420.14,0.943077234770705,7.838482984257358,2,182420.14,182420.14,0.0,0,Annuity
37,7,7,63406.009999999995,0.2024545927446954,10.828595920602327,2,8591.8,63406.009999999995,54814.20999999999,0,Annuity
38,6,6,138349.008,0.05549549623545517,5.860806789869952,1,123816.468,138349.008,14532.540000000008,0,Annuity
39,6,6,295273.08999999997,0.44947233401779607,10.570866392881587,2,139507.05,295273.08999999997,155766.03999999998,0,Annuity
40,2,2,320993.064,0.08229325119780972,9.697015468856948,1,276882.764,320993.064,44110.29999999999,0,Annuity
41,9,9,127906.45000000001,0.10838390143737167,7.986297850787132,1,15968.990000000002,127906.45000000001,111937.46,0,Annuity
42,8,8,136300.13,0.129747022587269,9.924731991786448,1,108624.95000000001,136300.13,27675.179999999993,0,Annuity
43,5,5,207615.525,0.059626584531143056,6.5575568514715945,1,197342.625,207615.525,10272.899999999994,0,Annuity
44,8,8,124591.331,0.0370887885010267,8.90286264202601,1,64857.831000000006,124591.331,59733.5,0,Annuity
45,9,9,178218.06,0.08831709787816563,11.617142231348392,1,42736.89,178218.06,135481.16999999998,0,Annuity
46,4,4,210143.9,0.0809187679671458,6.749326488706365,1,205651.9,210143.9,4492.0,0,Annuity
47,8,8,183520.64,0.2893449144421629,10.809731937029431,2,40925.48,183520.64,142595.16,0,Annuity
48,6,6,310051.4,0.1311018754277892,6.235278685831622,1,295211.71,310051.4,14839.690000000002,0,Annuity
49,1,1,201007.768,0.08265535934291582,9.947586338124573,1,201007.768,201007.768,0.0,0,Annuity
50,3,3,125737.68000000001,0.012161149897330597,8.980451498973306,1,107329.85,125737.68000000001,18407.83,0,Annuity
51,3,3,215139.62,0.11534570841889118,11.446631348391513,1,99151.85,215139.62,115987.76999999999,0,Annuity
52,6,6,57367.344000000005,0.7281522245037646,5.788443586584531,2,56597.15,57367.344000000005,770.1940000000031,0,Annuity
53,9,9,312797.593,0.39263515400410676,10.620080164271046,1,149998.57,312797.593,162799.023,0,Annuity
54,3,3,110664.15,0.08021768651608487,17.218788911704312,1,94761.35,110664.15,15902.799999999988,0,Annuity
55,1,1,139375.91,0.08065516769336072,3.675043203285421,1,139375.91,139375.91,0.0,0,Annuity
56,2,2,305856.58,0.8428299520876112,9.715130704996577,2,286880.28,305856.58,18976.29999999999,0,Annuity
57,8,8,320391.57999999996,2.2332627515400407,12.783355154004106,3,118536.15,320391.57999999996,201855.42999999996,0,Annuity
58,1,1,182394.78,0.22961103353867213,15.379935386721423,1,180627.92,182394.78,1766.859999999986,0,Annuity
59,1,1,110637.45999999999,0.15243386721423682,11.457611635865845,1,107136.58,110637.45999999999,3500.87999999999,0,Annuity
60,9,9,46942.340000000004,0.046722409308692675,9.67849234770705,1,0.0,46942.340000000004,46942.340000000004,0,Annuity
61,5,5,243713.57,0.29000944558521563,7.859453442847364,1,215498.96,243713.57,28214.610000000015,0,Annuity
62,4,4,135047.517,0.06858537987679672,16.688622970568105,1,103800.51699999999,135047.517,31247.0,0,Annuity
63,9,9,281262.1,0.6539178918548939,6.94150765229295,2,86189.0,281262.1,195073.09999999998,0,Annuity
64,3,3,67982.29000000001,0.8810225051334701,7.621152607802875,2,59832.64,67982.29000000001,8149.650000000009,0,Annuity
65,1,1,176712.953,0.061764298425735796,19.20724684462697,1,172476.203,176712.953,4236.75,0,Annuity
66,6,6,135023.35,0.08071006160164271,7.69934045174538,1,62491.03,135023.35,72532.32,0,Annuity
67,8,8,295454.878,0.09688637919233402,12.265130704996578,1,63759.008,295454.878,231695.87000000002,0,Annuity
68,6,6,200319.25,0.16294532511978096,4.32576424366872,2,183013.95,200319.25,17305.29999999999,0,Annuity
69,9,9,164113.02000000002,2.5535702395619437,6.270248323066393,3,0.0,164113.02000000002,164113.02000000002,1,Annuity
70,6,6,183410.21,0.34783159479808345,12.634307022587269,1,121147.11,183410.21,62263.09999999999,0,Annuity
71,10,10,186647.01,0.07677889117043121,10.647316741957562,1,0.0,186647.01,186647.01,0,Annuity
72,9,9,166632.9,0.8219111019849418,7.037711266255989,2,13134.2,166632.9,153498.69999999998,0,Annuity
73,8,8,80127.66,0.035893497604380556,5.044917371663245,1,48400.46,80127.66,31727.200000000004,0,Annuity
74,9,9,164212.91,0.1657509377138946,8.941906639288158,2,45106.97,164212.91,119105.94,0,Annuity
75,1,1,117346.65,0.07639978097193703,13.335217686516083,1,106757.51999999999,117346.65,10589.130000000005,0,Annuity
76,4,4,77775.32500000001,0.1431165503080082,9.185956249144422,1,58221.425,77775.32500000001,19553.90000000001,0,Annuity
77,5,5,133890.34,0.057080958247775496,9.517974127310062,1,94863.17,133890.34,39027.17,0,Annuity
78,6,6,207059.652,0.030634113620807667,8.372065379876798,1,151388.642,207059.652,55671.01000000001,0,Annuity
79,2,2,147010.4,0.06224443531827516,7.613903052703628,1,147010.4,147010.4,0.0,0,Annuity
80,5,5,92625.474,0.03894442162902122,11.542489746748801,1,88140.314,92625.474,4485.1600000000035,0,Annuity
81,8,8,165605.13999999998,0.05384960985626284,7.455348665297741,1,111165.18000000001,165605.13999999998,54439.95999999998,0,Annuity
82,4,4,172439.2,0.03851594798083504,14.487670554414784,1,170572.81,172439.2,1866.390000000014,0,Annuity
83,10,10,47071.17,0.0976606160164271,10.699865516769336,1,0.0,47071.17,47071.17,0,Annuity
84,4,4,222025.26,0.041659000684462696,16.21344796714579,1,111498.67,222025.26,110526.59000000001,0,Annuity
85,6,6,184211.3,1.114532950034223,9.260834250513348,2,173615.09,184211.3,10596.209999999992,0,Annuity
86,9,9,272987.9,0.024980424366872006,11.299609445585217,1,57445.66,272987.9,215542.24000000002,0,Annuity
87,4,4,265567.612,0.17267972621492128,8.737170485968514,1,251591.86200000002,265567.612,13975.75,0,Annuity
88,4,4,198050.14500000002,0.7873698836413415,16.893677015742643,1,152329.005,198050.14500000002,45721.140000000014,0,Annuity
89,5,5,174319.78999999998,0.1281633401779603,15.44224577686516,1,165594.47999999998,174319.78999999998,8725.309999999998,0,Annuity
90,7,7,163314.16999999998,0.07335310061601644,11.597512498288843,1,132785.91999999998,163314.16999999998,30528.25,0,Annuity
91,2,2,301442.85,0.07348317590691307,7.625432772073922,1,301442.85,301442.85,0.0,0,Annuity
92,5,5,121103.13,0.11807991786447639,13.208499685147158,1,115333.07,121103.13,5770.059999999998,0,Annuity
93,9,9,239006.87,2.5035390006844627,6.898083285420944,4,0.0,239006.87,239006.87,1,Annuity
94,5,5,152098.52,0.9320371800136892,7.39909478439425,2,124485.12,152098.52,27613.399999999994,0,Annuity
95,8,8,269541.14400000003,0.10015323750855579,12.650206269678302,1,141385.124,269541.14400000003,128156.02000000002,0,Annuity
96,9,9,188130.79,0.02726015058179329,8.821300260095825,1,21824.37,188130.79,166306.42,0,Annuity
97,5,5,177959.13,0.3051984394250513,6.829801451060917,1,131948.43,177959.13,46010.70000000001,0,Annuity
98,1,1,163561.43,0.5731790006844627,8.7816212183436,1,163561.43,163561.43,0.0,0,Annuity
99,5,5,107856.7,0.9824437508555783,4.726712881587954,2,107856.7,107856.7,0.0,0,Annuity
100,1,1,162672.026,1.7905905270362765,6.587666611909651,3,162672.026,162672.026,0.0,0,Annuity
