claim_no,accident_year,occurrence_period,dev_lag,payment_period,claim_size,payment_size,observed_flag
1,2,2,4,5,206806.81,20144.8,1
1,2,2,4,5,206806.81,9636.87,1
1,2,2,4,5,206806.81,2567.89,1
1,2,2,5,6,206806.81,49515.4,1
1,2,2,5,6,206806.81,2446.53,1
1,2,2,5,6,206806.81,9327.46,1
1,2,2,6,7,206806.81,85410.1,1
1,2,2,8,9,206806.81,5825.26,1
1,2,2,9,10,206806.81,1708.83,1
1,2,2,11,12,206806.81,11472.3,0
1,2,2,12,13,206806.81,6318.73,0
1,2,2,18,19,206806.81,2432.64,0
2,8,8,2,9,253968.04,7109.03,1
2,8,8,2,9,253968.04,8232.02,1
2,8,8,2,9,253968.04,66141.6,1
2,8,8,2,9,253968.04,4860.34,1
2,8,8,2,9,253968.04,15187.5,1
2,8,8,2,9,253968.04,2907.86,1
2,8,8,2,9,253968.04,20271.3,1
2,8,8,3,10,253968.04,23247.5,1
2,8,8,3,10,253968.04,2262.12,1
2,8,8,3,10,253968.04,1092.66,1
2,8,8,4,11,253968.04,5888.3,0
2,8,8,4,11,253968.04,6443.44,0
2,8,8,5,12,253968.04,16057.4,0
2,8,8,5,12,253968.04,12738.6,0
2,8,8,6,13,253968.04,17808.7,0
2,8,8,8,15,253968.04,16398.5,0
2,8,8,9,16,253968.04,4941.41,0
2,8,8,9,16,253968.04,13994.7,0
2,8,8,11,18,253968.04,8385.06,0
3,5,5,1,5,137557.622,3440.82,1
3,5,5,2,6,137557.622,17477.2,1
3,5,5,3,7,137557.622,18768.4,1
3,5,5,3,7,137557.622,9666.33,1
3,5,5,3,7,137557.622,5955.08,1
3,5,5,4,8,137557.622,3349.13,1
3,5,5,5,9,137557.622,5673.86,1
3,5,5,5,9,137557.622,820.252,1
3,5,5,5,9,137557.622,5351.59,1
3,5,5,5,9,137557.622,17234.7,1
3,5,5,5,9,137557.622,32978.5,1
3,5,5,7,11,137557.622,9919.06,0
3,5,5,13,17,137557.622,6922.7,0
4,4,4,1,4,243258.229,782.529,1
4,4,4,3,6,243258.229,2431.28,1
4,4,4,3,6,243258.229,11770.9,1
4,4,4,3,6,243258.229,5621.08,1
4,4,4,3,6,243258.229,5220.14,1
4,4,4,3,6,243258.229,7926.32,1
4,4,4,3,6,243258.229,5195.27,1
4,4,4,4,7,243258.229,28070.0,1
4,4,4,4,7,243258.229,21110.3,1
4,4,4,4,7,243258.229,13256.5,1
4,4,4,5,8,243258.229,57548.4,1
4,4,4,6,9,243258.229,2874.31,1
4,4,4,7,10,243258.229,11459.8,1
4,4,4,16,19,243258.229,69991.4,0
5,10,10,2,11,173038.7,1387.3,0
5,10,10,3,12,173038.7,53293.1,0
5,10,10,3,12,173038.7,4310.46,0
5,10,10,3,12,173038.7,52773.0,0
5,10,10,3,12,173038.7,25633.4,0
5,10,10,3,12,173038.7,3797.01,0
5,10,10,3,12,173038.7,4215.16,0
5,10,10,3,12,173038.7,5334.72,0
5,10,10,5,14,173038.7,1471.11,0
5,10,10,5,14,173038.7,4242.33,0
5,10,10,6,15,173038.7,2801.3,0
5,10,10,6,15,173038.7,1324.02,0
5,10,10,7,16,173038.7,2224.97,0
5,10,10,7,16,173038.7,6999.45,0
5,10,10,8,17,173038.7,3231.37,0
6,6,6,3,8,199108.14,5515.74,1
6,6,6,3,8,199108.14,1530.92,1
6,6,6,3,8,199108.14,22424.2,1
6,6,6,3,8,199108.14,26524.7,1
6,6,6,3,8,199108.14,4765.04,1
6,6,6,3,8,199108.14,14349.4,1
6,6,6,4,9,199108.14,6722.46,1
6,6,6,4,9,199108.14,5507.39,1
6,6,6,4,9,199108.14,42545.4,1
6,6,6,4,9,199108.14,8137.63,1
6,6,6,4,9,199108.14,5605.54,1
6,6,6,5,10,199108.14,6836.48,1
6,6,6,5,10,199108.14,5939.29,1
6,6,6,5,10,199108.14,2901.28,1
6,6,6,6,11,199108.14,9378.99,0
6,6,6,8,13,199108.14,2814.44,0
6,6,6,9,14,199108.14,2833.65,0
6,6,6,10,15,199108.14,22350.2,0
6,6,6,11,16,199108.14,2425.39,0
7,4,4,1,4,258569.448,895.208,1
7,4,4,2,5,258569.448,11430.2,1
7,4,4,2,5,258569.448,24443.3,1
7,4,4,2,5,258569.448,6920.4,1
7,4,4,2,5,258569.448,7843.11,1
7,4,4,3,6,258569.448,28098.6,1
7,4,4,5,8,258569.448,3408.43,1
7,4,4,5,8,258569.448,13497.3,1
7,4,4,5,8,258569.448,33396.9,1
7,4,4,6,9,258569.448,128636.0,1
8,3,3,1,3,193189.46000000002,16453.9,1
8,3,3,2,4,193189.46000000002,6071.04,1
8,3,3,2,4,193189.46000000002,6803.83,1
8,3,3,2,4,193189.46000000002,12412.7,1
8,3,3,2,4,193189.46000000002,28370.7,1
8,3,3,3,5,193189.46000000002,12133.7,1
8,3,3,3,5,193189.46000000002,16821.9,1
8,3,3,5,7,193189.46000000002,40592.0,1
8,3,3,5,7,193189.46000000002,3983.03,1
8,3,3,6,8,193189.46000000002,8829.16,1
8,3,3,10,12,193189.46000000002,23603.1,0
8,3,3,11,13,193189.46000000002,17114.4,0
9,8,8,2,9,254196.77099999998,2513.1,1
9,8,8,2,9,254196.77099999998,12527.4,1
9,8,8,2,9,254196.77099999998,2619.7,1
9,8,8,2,9,254196.77099999998,15619.6,1
9,8,8,3,10,254196.77099999998,15064.6,1
9,8,8,3,10,254196.77099999998,29800.3,1
9,8,8,3,10,254196.77099999998,10777.1,1
9,8,8,4,11,254196.77099999998,29842.0,0
9,8,8,4,11,254196.77099999998,13165.0,0
9,8,8,4,11,254196.77099999998,5378.29,0
9,8,8,4,11,254196.77099999998,61888.6,0
9,8,8,5,12,254196.77099999998,41881.7,0
9,8,8,5,12,254196.77099999998,6938.32,0
9,8,8,6,13,254196.77099999998,940.211,0
9,8,8,7,14,254196.77099999998,2035.32,0
9,8,8,9,16,254196.77099999998,3205.53,0
10,8,8,2,9,83041.62000000001,11417.9,1
10,8,8,3,10,83041.62000000001,5191.02,1
10,8,8,4,11,83041.62000000001,14604.3,0
10,8,8,5,12,83041.62000000001,20339.9,0
10,8,8,5,12,83041.62000000001,10672.1,0
10,8,8,7,14,83041.62000000001,10293.2,0
10,8,8,8,15,83041.62000000001,10523.2,0
11,6,6,2,7,188494.24,20786.1,1
11,6,6,2,7,188494.24,52386.5,1
11,6,6,3,8,188494.24,4522.64,1
11,6,6,3,8,188494.24,3207.3,1
11,6,6,3,8,188494.24,4135.27,1
11,6,6,3,8,188494.24,13472.7,1
11,6,6,3,8,188494.24,9168.15,1
11,6,6,4,9,188494.24,11877.7,1
11,6,6,4,9,188494.24,3551.82,1
11,6,6,4,9,188494.24,6594.47,1
11,6,6,5,10,188494.24,7315.4,1
11,6,6,6,11,188494.24,30204.2,0
11,6,6,7,12,188494.24,5957.89,0
11,6,6,15,20,188494.24,15314.1,0
12,10,10,2,11,137988.5,2719.95,0
12,10,10,2,11,137988.5,4688.71,0
12,10,10,2,11,137988.5,12517.4,0
12,10,10,2,11,137988.5,11888.9,0
12,10,10,2,11,137988.5,6484.37,0
12,10,10,3,12,137988.5,30023.5,0
12,10,10,4,13,137988.5,5020.6,0
12,10,10,5,14,137988.5,17688.6,0
12,10,10,6,15,137988.5,6617.79,0
12,10,10,7,16,137988.5,25331.6,0
12,10,10,8,17,137988.5,4641.08,0
12,10,10,8,17,137988.5,3451.07,0
12,10,10,11,20,137988.5,2110.78,0
12,10,10,11,20,137988.5,4804.15,0
13,6,6,1,6,211536.02,1454.81,1
13,6,6,1,6,211536.02,1344.31,1
13,6,6,3,8,211536.02,8199.65,1
13,6,6,3,8,211536.02,15795.7,1
13,6,6,3,8,211536.02,5744.02,1
13,6,6,4,9,211536.02,4702.62,1
13,6,6,4,9,211536.02,5967.99,1
13,6,6,4,9,211536.02,17457.1,1
13,6,6,5,10,211536.02,9098.26,1
13,6,6,5,10,211536.02,7403.38,1
13,6,6,5,10,211536.02,6022.46,1
13,6,6,5,10,211536.02,4635.79,1
13,6,6,6,11,211536.02,9283.61,0
13,6,6,6,11,211536.02,19716.7,0
13,6,6,6,11,211536.02,8009.62,0
13,6,6,7,12,211536.02,21864.0,0
13,6,6,7,12,211536.02,39399.6,0
13,6,6,8,13,211536.02,25436.4,0
14,8,8,2,9,241525.809,3983.55,1
14,8,8,2,9,241525.809,53459.9,1
14,8,8,2,9,241525.809,12809.9,1
14,8,8,3,10,241525.809,5542.95,1
14,8,8,3,10,241525.809,2908.03,1
14,8,8,3,10,241525.809,8535.76,1
14,8,8,3,10,241525.809,8319.81,1
14,8,8,3,10,241525.809,20581.1,1
14,8,8,3,10,241525.809,13786.6,1
14,8,8,3,10,241525.809,9975.81,1
14,8,8,4,11,241525.809,940.029,0
14,8,8,4,11,241525.809,11102.4,0
14,8,8,4,11,241525.809,14101.3,0
14,8,8,5,12,241525.809,7939.23,0
14,8,8,6,13,241525.809,20287.4,0
14,8,8,7,14,241525.809,9514.14,0
14,8,8,10,17,241525.809,37737.9,0
15,4,4,2,5,260808.26,5851.48,1
15,4,4,2,5,260808.26,4768.61,1
15,4,4,2,5,260808.26,1919.46,1
15,4,4,2,5,260808.26,2680.66,1
15,4,4,2,5,260808.26,23810.1,1
15,4,4,3,6,260808.26,31457.3,1
15,4,4,3,6,260808.26,23427.9,1
15,4,4,3,6,260808.26,2863.47,1
15,4,4,3,6,260808.26,36599.4,1
15,4,4,4,7,260808.26,2637.93,1
15,4,4,5,8,260808.26,4273.86,1
15,4,4,5,8,260808.26,65779.1,1
15,4,4,5,8,260808.26,22860.4,1
15,4,4,6,9,260808.26,6283.66,1
15,4,4,7,10,260808.26,6344.2,1
15,4,4,9,12,260808.26,6529.73,0
15,4,4,10,13,260808.26,12721.0,0
16,7,7,2,8,91810.73,6538.64,1
16,7,7,3,9,91810.73,3451.9,1
16,7,7,3,9,91810.73,4673.04,1
16,7,7,4,10,91810.73,12438.3,1
16,7,7,4,10,91810.73,3562.97,1
16,7,7,4,10,91810.73,32800.7,1
16,7,7,6,12,91810.73,8023.53,0
16,7,7,7,13,91810.73,8361.05,0
16,7,7,14,20,91810.73,11960.6,0
17,10,10,2,11,113600.37,11369.1,0
17,10,10,3,12,113600.37,14718.2,0
17,10,10,3,12,113600.37,5618.44,0
17,10,10,3,12,113600.37,3398.21,0
17,10,10,3,12,113600.37,1896.66,0
