accident_year,DY1,DY2,DY3,DY4,DY5,DY6,DY7,DY8,DY9,DY10
1,88827741.311,87934414.45560001,19779354.169999987,10467331.658899993,5670418.920000017,2721459.724000007,3066518.2700000107,1468397.0899999738,1198008.8500000238,845314.1899999678
2,74973889.14609998,79791780.74430001,22300673.965000004,8827515.013999999,5885219.574000001,1991789.8840000033,1287265.873999983,702877.7300000191,246396.05800002813,422313.1899999678
3,68440400.51370001,90387709.50349998,23321817.711000025,7977046.110399991,3869843.919999987,2368954.722000003,2810928.4399999976,732262.6420000196,1837430.919999957,421648.780000031
4,68643195.67390001,81896176.7268,27067274.322100013,8178420.2079999745,3307472.8049999774,1731336.7100000381,2536659.7610000074,1161421.4079999626,559255.2900000215,747204.2800000012
5,69039106.539,104260487.54129997,20860359.325000048,9276256.54639998,4211983.833000004,1648625.2089999914,1973968.3374000192,587905.7409999669,990286.5800000131,92053.87999999523
6,64067238.4688,87119121.20499998,30876864.17200002,6095539.970999986,11318976.740999997,2406469.7700000107,444103.5940000117,3091180.6359999776,581349.4900000095,3388105.9099999964
7,64577288.64900001,82964094.10599998,24222157.411000013,8013001.578999996,2308069.372000009,2040437.599999994,2005933.9350000024,5240827.872999996,188231.79999998212,100638.71999999881
8,67866464.0243,83663633.8904,34817988.86399999,6802354.948000014,7672058.74000001,2341919.576999992,1556153.4930000007,755894.3169999719,1597437.2000000179,297142.5600000024
9,72422230.48550001,85482979.10629997,21792576.42840004,4650501.241999984,3498049.622000009,1825091.0839999914,1053255.6600000262,2078688.1999999583,183036.34000003338,647948.0199999809
10,68286305.094,85032387.76900001,27560309.636000007,10342457.088999987,3921104.767999977,3583429.960000038,585350.8899999857,486392.91400000453,1282628.2299999595,114526.60000002384
