variant,total_err_pct,h1_err_pct,dy26_net_M,dy710_net_M,n_test,minutes,gated_share_pct
deployed (tau=0.01),-44.481816808235294,-55.309266079821164,-21.67870918507919,-139.84328682986737,168352,0.033678682645161946,
deployed tau=0.0,-44.274184498453494,-55.15200438965847,-21.036488596836417,-139.73155473542784,168352,,51.921569093328266
deployed tau=0.005,-44.41109445247374,-55.243500635972495,-21.475871488412768,-139.78931810797556,168352,,77.95214788063106
deployed tau=0.01,-44.481816808235294,-55.309266079821164,-21.67870918507919,-139.84328682986737,168352,,80.29545238547804
deployed tau=0.02,-44.814807346740714,-55.72450012145864,-22.839007654268205,-139.89214078053922,168352,,86.25083159095229
deployed tau=0.05,-45.32480572371615,-56.42922212878836,-24.563400668184848,-140.01964954861558,168352,,89.16496388519293
deployed tau=0.1,-46.35954332822999,-57.65550151304366,-28.063347546168597,-140.2770330861884,168352,,91.00337388329216
baseline_refit,-44.481816808235294,-55.309266079821164,-21.67870918507919,-139.84328682986737,168352,0.4513599991798401,
no_interactions,-44.13679879935999,-55.449549979956124,-20.07951378080025,-140.18965576586396,168352,0.3683728655179342,
unlimited_depth,-41.36656836505577,-53.05082335432101,-10.28129490347901,-139.9286373800317,168352,0.7624804814656575,
unlimited_depth_regressor_only,-43.04113536158931,-54.49984169898639,-16.447318932132543,-139.84328682986737,168352,0.5257789651552837,
