accident_year,cl_standard,cl_rbns_cohort,cl_ibnr_implied,true_rbns,true_total,true_ibnr,err_std_vs_total_pct,err_rbnscl_vs_rbns_pct
1,0.0,0.0,0.0,0.0,0.0,0.0,,
2,36524.332743763924,36524.332743763924,0.0,152855.0,152855.0,0.0,-76.10524173644046,-76.10524173644046
3,419077.1827687919,419077.1827687919,0.0,1719594.68,1719594.68,0.0,-75.62930453071698,-75.62930453071698
4,1557474.7091891766,1557474.7091891766,0.0,11613474.48,11613474.48,0.0,-86.58907192785964,-86.58907192785964
5,11249324.016331524,11249324.016331524,0.0,4548052.58,4548052.58,0.0,147.34375468305433,147.34375468305433
6,27656631.87083313,27656631.87083313,0.0,34419803.49,34419803.49,0.0,-19.649070980698013,-19.649070980698013
7,48152313.495367795,47753363.864072114,398949.631295681,38866491.73,38982729.73,116238.0,23.522169506542156,22.865125558046138
8,89265261.57948083,78901946.18506289,10363315.394417942,101909266.22999999,103513342.49,1604076.2600000054,-13.764487328670327,-22.57627877823364
9,160514387.56216997,135974523.6328491,24539863.92932087,74046080.11,87025356.18,12979276.070000008,84.44553933243087,83.63500597310565
10,336168874.5624496,211924521.1508035,124244353.41164607,95843533.76,156585844.51999998,60742310.759999976,114.68663121685454,121.11509544449781
