accident_year,DY1,DY2,DY3,DY4,DY5,DY6,DY7,DY8,DY9,DY10,CL_reserve,true_reserve,CL_error,CL_error_pct
1,3268680.18,23191099.79,35105536.53,47267425.07,52069711.61,53762123.27,61415034.27,61539990.27,61695616.27,61718910.27,0.0,0.0,0.0,0.0
2,5907323.91,34626812.02,59507943.84,76153598.05999999,86448058.19,95267626.31,96274069.04,96574792.23,96736980.23,96773504.56274377,36524.332743763924,152855.0,-116330.66725623608,-76.10524173644046
3,10180864.93,77369775.18,122064223.5,146566137.23,156599288.12,167151216.53,174403364.93,175467754.89999998,175820448.73528886,175886832.08276877,419077.1827687919,1719594.6800000072,-1300517.4972312152,-75.62930453071708
4,19385649.93,107049971.18,158342801.75,185721956.57,203772167.18,219842196.64,226180883.15,227195736.51403296,227652404.66778052,227738357.85918918,1557474.7091891766,11613474.47999999,-10055999.770810813,-86.58907192785964
5,35990362.47,151257262.34,186560224.32,203678535.15,224566723.24,231079792.1,240671857.00021586,241751730.0659813,242237656.06938452,242329116.11633152,11249324.016331524,4548052.580000013,6701271.436331511,147.34375468305362
6,50520469.370000005,181838502.79,219636439.63,240903952.15,247044869.53,261949396.96305177,272822851.51053834,274046983.20895827,274597823.3425908,274701501.4008332,27656631.87083319,34419803.48999998,-6763171.619166791,-19.649070980697793
7,52618527.42999999,177398684.18,220937907.29,242379197.56,261281131.98149922,277044551.0185587,288544601.6697691,289839275.4529814,290421858.422343,290531511.05536777,48152313.495367765,38866491.73000002,9285821.765367746,23.89158720543914
8,69997603.14,193351354.89,243405805.57,277534598.6196781,299178125.933971,317227918.24026453,330395970.5059693,331878427.6325893,332545510.17181754,332671067.14948094,89265261.57948095,101909266.23000008,-12644004.650519133,-12.407119703896942
9,77465171.32,200802017.87,264364771.73518842,301432295.91788876,324939484.43620807,344543491.8745129,358845406.8319971,360455514.0312413,361180037.10824287,361316405.4321701,160514387.5621701,74046080.11000001,86468307.45217007,116.77634700407648
10,62915110.14,221791394.53134018,291998217.9963283,332940325.88703567,358904667.17350876,380557836.76944035,396354698.25786746,398133106.2880921,398933362.1088396,399083984.7024497,336168874.5624497,95843533.76,240325340.8024497,250.7475792829633
