name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_dy,537512030.0307131,363119152.06,174392877.97071308,48.02635084967847,234.3298002196139,80161.08239698302,4401.088072673172
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_dy_bs1,487911550.7419382,363119152.06,124792398.68193817,34.36679061789561,209.05622402264362,79898.83202091725,4128.773757072236
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_dy_bsmean,513453041.1849501,363119152.06,150333889.1249501,41.40070505014555,224.5928950987924,79878.61764283213,4240.302956515988
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_dy_heur,517496997.45311236,363119152.06,154377845.39311236,42.51437703500798,222.87161103282855,79986.64453498006,4288.97466364427
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_dy_zcv,504575248.5173079,363119152.06,141456096.45730788,38.955834649540705,214.7776396396688,80009.95195996195,4227.824217800875
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_global,537512030.0307131,363119152.06,174392877.97071308,48.02635084967847,234.3298002196139,80161.08239698302,4401.088072673172
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_type,492572602.262413,363119152.06,129453450.20241302,35.65040551235446,156.45865376459616,83713.87664505308,4009.0841128230486
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,cv_type_bs1,433906961.8028899,363119152.06,70787809.74288988,19.49437514967353,150.39968115748073,80255.49819088998,3726.3701459625004
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,duan,405764903.9770922,363119152.06,42645751.917092204,11.744286049127377,156.1211578998333,79702.91652079401,3716.799224269952
hgb_gamma__per_dy__raw__two_stage,gamma_hgb,hgb,per_dy,raw,two_stage,insample_global,531535344.24098444,363119152.06,168416192.18098444,46.38042119936328,227.87259110923048,80084.9817635742,4373.596177840219
