name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy,654406229.3721929,363119152.06,291287077.31219286,80.21804293706381,338.5944237004756,80340.93218497667,5036.66178498517
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bs1,590013024.8601406,363119152.06,226893872.80014056,62.484688982378366,301.87961088077503,80057.35402617417,4682.132113724342
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_bsmean,571317789.289329,363119152.06,208198637.22932905,57.336176306924,291.08293087597247,79999.1320512723,4577.848693888062
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_heur,442516730.5296347,363119152.06,79397578.46963471,21.865433981988218,216.1211213435299,79907.26080501852,3883.1471877767376
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_dy_zcv,632275569.7014467,363119152.06,269156417.64144665,74.12344298407389,324.2085382833615,80252.88172687973,4921.105364512339
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_global,654406229.3721929,363119152.06,291287077.31219286,80.21804293706381,338.5944237004756,80340.93218497667,5036.66178498517
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type,505604381.47726667,363119152.06,142485229.41726667,39.239249323242284,205.7636891742753,79877.3739780151,4128.255100187675
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,cv_type_bs1,462964830.6306403,363119152.06,99845678.57064033,27.496670997442273,194.55119880913009,79739.44575867297,3909.785123211832
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,duan,753845141.595255,363119152.06,390725989.535255,107.60269385920283,403.3477180254745,80611.29621596,5526.136003094895
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,insample_global,625536348.254433,363119152.06,262417196.19443303,72.2675173440239,319.79366531829714,80194.21634056009,4883.191845611886
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,iso_global,541026944.723798,363119152.06,177907792.66379803,48.9943291766669,244.57183623759894,80271.3071963389,4411.912680234145
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,none,211793035.95726782,363119152.06,-151326116.10273218,-41.673956122735106,94.37170204955359,79856.79784432743,2824.119654645932
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,paper,390676509.4830034,363119152.06,27557357.423003376,7.5890674635773365,163.69200480544862,79711.8880407995,3548.9302913845972
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_dy_bs1,589870929.2505157,363119152.06,226751777.1905157,62.44555703111148,301.706775546122,80056.63857679808,4681.505837897096
random_forest__per_dy__log1p__two_stage,mse_log1p,random_forest,per_dy,log1p,two_stage,shift_global,654273478.4467591,363119152.06,291154326.3867591,80.18148443424714,338.4080493198756,80339.47852326476,5036.113033407729
