accident_year,calendar_year,observed_claims,pred_ibnr_claims,true_ibnr_claims,pred_ibnr_reserve,true_ibnr_reserve,ibnr_error,ibnr_error_pct
1,2000,1030,0.0,0,0.0,0.0,0.0,0.0
2,2001,1668,0.0,0,0.0,0.0,0.0,0.0
3,2002,2993,0.0,0,0.0,0.0,0.0,0.0
4,2003,3499,0.0,0,0.0,0.0,0.0,0.0
5,2004,3709,0.0,0,0.0,0.0,0.0,0.0
6,2005,4263,0.0,0,0.0,0.0,0.0,0.0
7,2006,4138,5.136544190665518,3,272640.38996092905,116238.0,156402.38996092905,134.55357969074575
8,2007,4225,25.5987450714656,27,1248801.2087655023,1604076.26,-355275.0512344977,-22.1482643995054
9,2008,4307,124.34560441044414,130,6780569.937233028,13408944.07,-6628374.132766972,-49.43248400593092
10,2009,2801,826.6032296033745,719,58428478.29113004,60809158.230000004,-2380679.9388699606,-3.9150022926899517
