accident_year,calendar_year,observed_claims,pred_ibnr_claims,true_ibnr_claims,pred_ibnr_reserve,true_ibnr_reserve,ibnr_error,ibnr_error_pct
1,2000,1030,0.0,0,0.0,0.0,0.0,0.0
2,2001,1668,0.0,0,0.0,0.0,0.0,0.0
3,2002,2993,0.0,0,0.0,0.0,0.0,0.0
4,2003,3499,0.0,0,0.0,0.0,0.0,0.0
5,2004,3709,0.0,0,0.0,0.0,0.0,0.0
6,2005,4263,0.0,0,0.0,0.0,0.0,0.0
7,2006,4138,5.136544190665518,3,433047.26999333105,116238.0,316809.26999333105,272.5522376446008
8,2007,4225,25.5987450714656,27,1695617.9107327121,1604076.26,91541.65073271212,5.706814134429751
9,2008,4307,124.34560441044414,130,7736800.123387907,13408944.07,-5672143.946612094,-42.301197745335166
10,2009,2801,826.6032296033745,719,71697121.78838901,60809158.230000004,10887963.558389008,17.90513777087193
