accident_year,calendar_year,observed_claims,pred_ibnr_claims,true_ibnr_claims,pred_ibnr_reserve,true_ibnr_reserve,ibnr_error,ibnr_error_pct
1,2000,1030,0.0,0,0.0,0.0,0.0,0.0
2,2001,1668,0.0,0,0.0,0.0,0.0,0.0
3,2002,2993,0.0,0,0.0,0.0,0.0,0.0
4,2003,3499,0.0,0,0.0,0.0,0.0,0.0
5,2004,3709,0.0,0,0.0,0.0,0.0,0.0
6,2005,4263,0.0,0,0.0,0.0,0.0,0.0
7,2006,4138,5.1,3,267137.53321848466,116238.0,150899.53321848466,129.81945079791865
8,2007,4225,25.6,27,1674655.9574605695,1604076.26,70579.69746056944,4.400021321964421
9,2008,4307,124.3,130,9048623.712115057,13408944.07,-4360320.3578849435,-32.51799944218086
10,2009,2801,826.6,719,55510570.75721285,60809158.230000004,-5298587.472787157,-8.713469528300616
