accident_year,calendar_year,observed_claims,pred_ibnr_claims,true_ibnr_claims,pred_ibnr_reserve,true_ibnr_reserve,ibnr_error,ibnr_error_pct
1,2000,1030,0.0,0,0.0,0.0,0.0,0.0
2,2001,1668,0.0,0,0.0,0.0,0.0,0.0
3,2002,2993,0.0,0,0.0,0.0,0.0,0.0
4,2003,3499,0.0,0,0.0,0.0,0.0,0.0
5,2004,3709,0.0,0,0.0,0.0,0.0,0.0
6,2005,4263,0.0,0,0.0,0.0,0.0,0.0
7,2006,4138,5.1,3,242934.22784804218,116238.0,126696.22784804218,108.99725377935114
8,2007,4225,25.6,27,1038033.4704906434,1604076.26,-566042.7895093566,-35.28777300833295
9,2008,4307,124.3,130,4571682.237846912,13408944.07,-8837261.83215309,-65.90572520863002
10,2009,2801,826.6,719,40915085.69052898,60809158.230000004,-19894072.539471023,-32.71558613626121
