accident_year,calendar_year,ibnr_mean,ibnr_median,ibnr_std,ibnr_p5,ibnr_p25,ibnr_p75,ibnr_p95,ibnr_true
1,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2006,272640.38996092905,208719.66833705638,287883.1793375324,97548.92043407603,149977.95649354864,278231.99726903706,469205.179993779,116238.0
8,2007,1248801.2087655023,1071367.9025537847,571561.0191289936,706448.2047745275,925305.8928025918,1305257.2653765855,2520951.429481512,1604076.26
9,2008,6780569.937233028,6720619.710564507,1812073.1295824018,4682146.155356811,5262672.295422932,7708931.916409326,10373627.969746795,13408944.07
10,2009,58428478.29113004,58279591.04075084,6470382.949152139,48420832.10115918,53875335.301264,62130273.987046614,69919421.98042645,60809158.230000004
