accident_year,calendar_year,ibnr_mean,ibnr_median,ibnr_std,ibnr_p5,ibnr_p25,ibnr_p75,ibnr_p95,ibnr_true
1,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2006,267137.53321848466,254271.8294576278,115116.48628513265,97975.90903142901,188030.10304456836,337505.8621120828,474208.7199106153,116238.0
8,2007,1674655.9574605695,1302040.191334325,879863.9777662933,800940.0774008253,1076125.0708638285,2409231.5911280257,2950293.7239651554,1604076.26
9,2008,9048623.712115057,8653106.301321317,2638742.047382862,5569451.762498582,7301569.166259872,10444850.162738143,14235489.240301631,13408944.07
10,2009,55510570.75721285,55333190.72052386,6065731.514307653,45904033.915245965,51133027.9997185,59240670.34358111,64773576.32022799,60809158.230000004
