accident_year,observed_claims,pred_ibnr_claims,true_ibnr_claims,pred_ibnr_reserve,rbns_pred,rbns_true,ibnr_pred,cl_standard,cl_rbns_cohort,cl_ibnr_implied,true_rbns,true_total,true_ibnr,total_pred,ibnr_err_pct,total_err_pct,cl_err_pct,ibnr_p5,ibnr_p95
1,1030,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2,1668,0.0,0,0.0,22898.6686625263,152855.0,0.0,36524.33274376392,36524.33274376392,0.0,152855.0,152855.0,0.0,22898.6686625263,,-85.01935254814936,-76.10524173644046,0.0,0.0
3,2993,0.0,0,0.0,318531.1888067593,1719594.68,0.0,419077.1827687919,419077.1827687919,0.0,1719594.68,1719594.68,0.0,318531.1888067593,,-81.47637972415922,-75.62930453071698,0.0,0.0
4,3499,0.0,0,0.0,1004382.9484569728,11613474.48,0.0,1557474.7091891766,1557474.7091891766,0.0,11613474.48,11613474.48,0.0,1004382.9484569728,,-91.35157226042337,-86.58907192785964,0.0,0.0
5,3709,0.0,0,0.0,2808756.2522579306,4548052.58,0.0,11249324.016331524,11249324.016331524,0.0,4548052.58,4548052.58,0.0,2808756.2522579306,,-38.24266094439193,147.34375468305433,0.0,0.0
6,4263,0.0,0,0.0,7714136.256247286,34419803.49,0.0,27656631.87083313,27656631.87083313,0.0,34419803.49,34419803.49,0.0,7714136.256247286,,-77.58808745526838,-19.649070980698013,0.0,0.0
7,4138,5.136544190665518,3,272640.38996092905,10748239.44988843,38866491.73,272640.38996092905,48152313.495367795,47753363.864072114,398949.631295681,38866491.73,38982729.73,116238.0,11020879.83984936,134.55357969074578,-71.72881448738566,23.522169506542156,97548.92043407603,469205.179993779
8,4225,25.5987450714656,27,1248801.2087655023,37345856.88464357,101909266.23,1248801.2087655023,89265261.57948083,78901946.18506289,10363315.394417942,101909266.23,103513342.49,1604076.2600000054,38594658.09340907,-22.148264399505656,-62.71528175497034,-13.764487328670327,706448.2047745275,2520951.429481512
9,4307,124.34560441044414,130,6780569.937233028,77189576.94009155,74046080.11,6780569.937233028,160514387.56216997,135974523.6328491,24539863.92932087,74046080.11,87025356.18,12979276.070000008,83970146.87732458,-47.758488989185786,-3.5107116325455157,84.44553933243087,4682146.155356811,10373627.969746796
10,2801,826.6032296033745,719,58428478.29113004,240138370.7116271,95843533.76,58428478.29113004,336168874.5624496,211924521.1508035,124244353.41164608,95843533.76,156585844.51999998,60742310.759999976,298566849.00275713,-3.8092598716110038,90.6729499834339,114.68663121685454,48420832.10115918,69919421.98042645
